text,true_label,pred_label
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,smishing,spam
Dont know you bring some food,ham,spam
It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),ham,spam
"Oh fine, I'll be by tonight",ham,ham
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,ham,ham
Lol ok. I'll snatch her purse too.,ham,spam
You have an important customer service announcement. Calnumber 0800 542 0826 now!,smishing,spam
Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,ham,ham
I'm on the bus. Love you,ham,ham
ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX,ham,spam
Nothing spl..wat abt u and whr ru?,ham,spam
"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",ham,ham
Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway,ham,ham
I was just callin to say hi. Take care bruv!,ham,ham
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077..zed POBox 36504 W45WQ norm150p/tone 16+,spam,spam
No need to ke qi... Ü too bored izzit y suddenly thk of this...,ham,spam
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,ham,ham
Ok�tell me later�,ham,ham
Smile in Pleasure !!!Smile in Pain!!! Smile when trouble pours like Rain!!! Smile when sum1 Hurts U !!!Smile becoz SOMEONE still Loves to see u Smiling!! KEEP SMILING!!,ham,spam
"Navratra Special Launching 9th oct. CHD presnts Phase-3 of Avenue71,  Shona Road,  Gurgaon *@Rs.4150/- Lease Rs.400/- as Inaugural discount Sms ICD to 54999",spam,spam
Aah bless! How's your arm?,ham,ham
Yay can't wait to party together!,ham,ham
You want to go?,ham,ham
A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,smishing,spam
I wonder if you'll get this text?,ham,ham
"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",ham,ham
Minimum walk is 3miles a day.,ham,ham
Just now saw your message.it k da:),ham,spam
Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,ham,spam
HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,ham,ham
Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,spam,spam
K:)k:)what are detail you want to transfer?acc no enough?,ham,spam
Want to send me a virtual hug?... I need one,ham,ham
